FIPS,STATE_FIPS,population,covid_cases,covid_deaths
18083,18,36594,4537,0
18085,18,79456,29465,278
18087,18,39614,24159,447
18089,18,485493,404833,19211
18091,18,109888,45954,2076
18093,18,45370,19020,2238
18095,18,129569,62218,6082
18097,18,964582,1021676,57852
18099,18,46258,27247,423
18101,18,10255,1708,0
18103,18,35516,15501,127
18105,18,148431,24645,1784
18107,18,38338,22348,1409
18109,18,70489,29021,2296
18111,18,13984,8258,928
18113,18,47744,30510,2169
18115,18,5875,1480,24
18117,18,19646,12437,2000
18119,18,20799,4195,110
18121,18,16937,2099,0
18123,18,19169,7278,365
18125,18,12389,767,0
18127,18,170389,58387,2580
18129,18,25427,3595,0
18131,18,12353,4666,53
18133,18,37576,14243,717
18135,18,24665,5463,329
18137,18,28324,12889,659
18139,18,16581,5139,266
18141,18,271826,150399,4541
18143,18,23873,12730,511
18145,18,44729,36744,2064
18147,18,20277,3053,89
18149,18,22995,5929,278
18151,18,34594,9652,208
18153,18,20669,3777,70
18155,18,10751,2405,0
18157,18,195732,48317,570
18159,18,15148,3064,117
18161,18,7054,1201,0
18163,18,181451,44150,397
18165,18,15498,1229,0
18167,18,107038,18586,785
18169,18,30996,8585,202
18171,18,8265,1387,120
18173,18,62998,19450,2501
18175,18,28036,6114,84
18177,18,65884,10635,535
18179,18,28296,4717,39
18181,18,24102,20927,691
18183,18,33964,6176,335
0,19,0,1534,0
19001,19,7152,1026,0
19003,19,3602,553,0
19005,19,13687,12060,418
19007,19,12426,1585,303
19009,19,5496,1286,78
19011,19,25645,5490,113
19013,19,131228,183557,4260
19015,19,26234,9275,43
19017,19,25062,8221,548
19019,19,21175,4048,53
19021,19,19620,97422,518
19023,19,14439,3293,109
19025,19,9668,2431,58
19027,19,20165,5038,54
19029,19,12836,1370,0
19031,19,18627,6330,83
19033,19,42450,11837,234
19035,19,11235,4393,26
19037,19,11933,1755,0
19039,19,9395,7461,113
19041,19,16016,6713,20
19043,19,17549,3606,267
19045,19,46429,9219,104
19047,19,16820,46981,198
19049,19,93453,96651,1993
19051,19,9000,2573,50
19053,19,7870,557,0
19055,19,17011,2899,57
19057,19,38967,6591,149
19059,19,17258,13127,109
19061,19,97311,49380,1664
19063,19,9208,4407,4
19065,19,19650,3461,0
19067,19,15642,3578,113
19069,19,10070,5019,22
19071,19,6960,560,0
19073,19,8888,1963,0
19075,19,12232,2735,7
19077,19,10689,5457,277
19079,19,14773,9929,30
19081,19,10630,3201,35
19083,19,16846,4441,0
19085,19,14049,3894,0
19087,19,19954,7070,211
19089,19,9158,1930,0
19091,19,9558,3041,57
19093,19,6860,1382,0
19095,19,16184,4022,20
19097,19,19439,2866,0
19099,19,37185,27437,1341
19101,19,18295,3585,0
19103,19,151140,89965,779
19105,19,20681,4892,16
19107,19,10246,1482,42
19109,19,14813,2242,0
19111,19,33657,3435,76
19113,19,226706,110130,7409
19115,19,11035,34594,900
19117,19,8600,1804,188
19119,19,11755,3354,0
19121,19,16338,3283,169
19123,19,22095,8093,1002
19125,19,33253,4624,0
19127,19,39369,88478,1302
19129,19,15109,2571,0
19131,19,10586,1916,0
19133,19,8615,4280,0
19135,19,7707,3506,412
19137,19,9917,947,108
19139,19,42664,57098,3538
19141,19,13753,5322,49
19143,19,5958,4079,0
19145,19,15107,1714,0
19147,19,8886,1975,0
19149,19,25177,18864,262
19151,19,6619,4060,38
19153,19,490161,468595,12698
19155,19,93206,43819,824
19157,19,18504,9111,710
19159,19,4894,768,20
19161,19,9721,3340,0
19163,19,172943,57473,913
19165,19,11454,6129,0
19167,19,34855,29414,5
19169,19,97117,37402,289
19171,19,16854,41462,2315
19173,19,6121,4883,0
19175,19,12241,1763,13
19177,19,7044,1428,15
19179,19,34969,50990,1625
19181,19,51466,18435,67
19183,19,21965,21511,874
19185,19,6441,468,13
19187,19,35904,15140,166
19189,19,10354,1939,0
19191,19,19991,3011,12
19193,19,103107,251493,2956
19195,19,7381,1131,0
19197,19,12562,21475,26
0,20,0,139,100
20001,20,12369,243,0
20003,20,7858,492,0
20005,20,16073,2588,0
20007,20,4427,159,0
20009,20,25779,4272,130
20011,20,14534,1822,113
20013,20,9564,932,0
20015,20,66911,5522,0
20017,20,2648,348,0
20019,20,3250,466,0
20021,20,19939,2363,20
20023,20,2657,181,0
20025,20,1994,2636,0
20027,20,8002,693,111
20029,20,8786,1100,0
20031,20,8179,5917,830
20033,20,1700,152,0
20035,20,34908,4043,119
20037,20,38818,12449,121
20039,20,2827,60,0
20041,20,18466,861,12
20043,20,7600,1815,0
20045,20,122259,18181,14
20047,20,2798,544,0
20049,20,2530,33,0
20051,20,28553,2623,3
20053,20,6102,459,0
20055,20,36467,126831,743
20057,20,33619,158327,760
20059,20,25544,5557,20
20061,20,31670,5014,56
20063,20,2636,152,0
20065,20,2482,180,0
20067,20,7150,2779,76
20069,20,5988,2136,0
20071,20,1232,35,0
20073,20,5982,786,0
20075,20,2539,2208,0
20077,20,5436,205,0
20079,20,34429,3535,182
20081,20,3968,2104,0
20083,20,1794,490,0
20085,20,13171,7702,54
20087,20,19043,2441,0
20089,20,2879,460,0
20091,20,602401,156580,7130
