StateFIPS,date,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,distributed_per_hundred,share_doses_used
5,2021-01-14,0.43,3.59,2.99,9.87,0.364
5,2021-01-15,0.62,3.92,3.24,9.87,0.397
5,2021-01-16,0.62,3.92,3.24,9.87,0.397
5,2021-01-17,0.62,3.92,3.24,9.87,0.397
5,2021-01-18,0.62,3.92,3.24,9.87,0.397
5,2021-01-19,0.72,4.72,3.94,9.87,0.478
5,2021-01-20,0.88,5.74,4.8,11.09,0.518
5,2021-01-21,0.88,5.74,4.8,11.98,0.479
5,2021-01-22,1.05,6.68,5.56,12.0,0.557
5,2021-01-23,1.05,6.68,5.56,12.22,0.547
5,2021-01-24,1.08,7.1,5.94,12.22,0.581
5,2021-01-25,1.1,7.33,6.15,12.22,0.6
5,2021-01-26,1.23,7.83,6.52,13.08,0.599
5,2021-01-27,1.36,8.38,6.94,13.46,0.622
5,2021-01-28,1.36,8.38,6.94,15.02,0.5579999999999999
5,2021-01-29,1.52,8.95,7.34,15.03,0.595
5,2021-01-30,1.73,9.56,7.75,15.03,0.636
5,2021-01-31,1.86,10.07,8.11,15.03,0.67
5,2021-02-01,1.94,10.31,8.28,15.03,0.6859999999999999
5,2021-02-02,1.98,10.42,8.35,15.5,0.672
5,2021-02-03,2.1,10.68,8.49,16.55,0.6459999999999999
5,2021-02-04,2.28,11.21,8.83,17.13,0.654
5,2021-02-05,2.45,11.64,9.09,17.75,0.6559999999999999
5,2021-02-06,2.7,12.42,9.61,17.9,0.6940000000000001
5,2021-02-07,2.99,13.04,9.95,17.9,0.7290000000000001
5,2021-02-08,3.12,13.31,10.09,17.9,0.7440000000000001
5,2021-02-09,3.15,13.39,10.14,19.24,0.696
5,2021-02-10,3.44,13.85,10.32,19.28,0.718
5,2021-02-11,3.67,14.28,10.5,19.68,0.726
5,2021-02-12,3.93,14.82,10.79,20.87,0.71
5,2021-02-13,4.11,15.16,10.94,20.9,0.725
5,2021-02-14,4.33,15.66,11.22,20.9,0.7490000000000001
5,2021-02-15,4.33,15.66,11.22,20.9,0.7490000000000001
5,2021-02-16,4.52,16.02,11.39,20.93,0.765
5,2021-02-17,4.58,16.14,11.44,21.51,0.75
5,2021-02-18,4.66,16.26,11.49,22.01,0.7390000000000001
5,2021-02-19,5.0,17.14,12.03,22.91,0.748
5,2021-02-20,5.06,17.26,12.09,22.91,0.753
5,2021-02-21,5.22,17.51,12.18,22.91,0.764
5,2021-02-22,5.36,17.74,12.3,22.91,0.774
5,2021-02-23,5.44,17.9,12.38,26.32,0.68
5,2021-02-24,5.73,18.37,12.56,27.06,0.679
5,2021-02-25,6.12,18.97,12.77,27.38,0.693
5,2021-02-26,6.64,19.82,13.09,28.54,0.6940000000000001
5,2021-02-27,7.1,20.63,13.45,29.58,0.698
5,2021-02-28,7.54,21.52,13.9,29.58,0.727
5,2021-03-01,7.74,21.92,14.1,29.58,0.741
5,2021-03-02,7.84,22.23,14.31,31.91,0.6970000000000001
5,2021-03-03,8.05,22.78,14.66,31.97,0.7120000000000001
5,2021-03-04,8.28,23.34,15.0,32.83,0.711
5,2021-03-05,8.53,23.98,15.4,35.29,0.68
5,2021-03-06,8.79,24.66,15.81,36.06,0.684
5,2021-03-07,9.09,25.36,16.21,36.06,0.703
5,2021-03-08,9.19,25.63,16.39,36.06,0.711
5,2021-03-09,9.27,25.94,16.62,38.39,0.6759999999999999
5,2021-03-10,9.45,26.48,17.02,38.52,0.688
5,2021-03-11,9.47,26.51,17.05,40.07,0.662
5,2021-03-12,9.85,27.72,17.96,40.51,0.684
5,2021-03-13,10.27,29.25,19.19,41.47,0.705
5,2021-03-14,10.27,29.25,19.19,41.47,0.705
5,2021-03-15,10.38,29.58,19.43,41.47,0.713
5,2021-03-16,10.44,29.73,19.53,44.16,0.6729999999999999
5,2021-03-17,10.58,30.24,19.95,44.29,0.6829999999999999
5,2021-03-18,10.75,30.81,20.4,45.05,0.684
5,2021-03-19,10.96,31.58,21.06,46.63,0.677
5,2021-03-20,11.13,32.31,21.66,48.61,0.665
5,2021-03-21,11.43,33.12,22.23,48.61,0.6809999999999999
5,2021-03-22,11.55,33.42,22.46,48.61,0.688
5,2021-03-23,11.6,33.55,22.55,50.89,0.659
5,2021-03-24,11.84,34.21,23.0,50.95,0.6709999999999999
5,2021-03-25,12.15,35.0,23.54,52.23,0.67
5,2021-03-26,12.47,35.99,24.22,53.29,0.675
5,2021-03-27,12.88,36.93,24.77,55.1,0.67
6,2021-01-12,0.25,2.07,1.78,8.32,0.248
6,2021-01-13,0.34,2.26,1.88,8.7,0.259
6,2021-01-14,0.34,2.47,2.03,8.96,0.275
6,2021-01-15,0.52,2.72,2.19,8.98,0.302
6,2021-01-16,0.52,2.72,2.19,8.98,0.302
6,2021-01-17,0.52,2.72,2.19,8.98,0.302
6,2021-01-18,0.52,2.72,2.19,8.98,0.302
6,2021-01-19,0.66,3.7,3.03,8.98,0.41200000000000003
6,2021-01-20,0.69,3.88,3.18,10.55,0.368
6,2021-01-21,0.74,4.14,3.38,11.08,0.373
6,2021-01-22,0.81,4.56,3.74,11.93,0.38299999999999995
6,2021-01-23,0.86,5.08,4.21,12.42,0.409
6,2021-01-24,0.9,5.57,4.65,12.42,0.44799999999999995
6,2021-01-25,0.94,5.9,4.95,12.42,0.475
6,2021-01-26,0.98,6.19,5.2,13.52,0.45799999999999996
6,2021-01-27,1.06,6.53,5.46,13.8,0.473
6,2021-01-28,1.16,6.95,5.77,14.04,0.495
6,2021-01-29,1.23,7.37,6.11,14.27,0.516
6,2021-01-30,1.33,7.83,6.49,14.34,0.546
6,2021-01-31,1.41,8.31,6.88,14.34,0.58
6,2021-02-01,1.47,8.74,7.24,14.34,0.609
6,2021-02-02,1.5,8.97,7.44,14.35,0.625
6,2021-02-03,1.55,9.29,7.71,16.06,0.579
6,2021-02-04,1.58,9.42,7.81,16.29,0.578
6,2021-02-05,1.71,9.92,8.17,17.14,0.579
6,2021-02-06,1.84,10.47,8.58,17.62,0.594
6,2021-02-07,2.05,11.35,9.25,17.62,0.644
6,2021-02-08,2.15,11.85,9.65,17.62,0.672
6,2021-02-09,2.22,12.11,9.82,18.69,0.648
6,2021-02-10,2.35,12.55,10.11,19.25,0.652
