countyFIPS,StateFIPS,population,SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS
41023,41.0,7199.0,4529.31,7070.0,14.0,91.0,24.0,8.0,207.0,67.0,171.0,3699.0,3746.0,338.0,365.0,445.0,426.0,270.0,641.0,735.0,1114.0,1351.0,986.0,534.0,240.0,3352.0,524.0,493.0,504.99999999999994,1308.0,71.0,175.0,2167.0,4344.0,991.9999999999999,2404.0,948.0,1540.0,12.275156,495.99999999999994,10.823576,6.749765600583394
41025,41.0,7393.0,10226.65,6819.0,19.0,232.0,35.0,0.9999999999999999,294.0,95.0,221.0,3778.0,3644.0,403.0,447.0,458.0,532.0,319.0,749.0,786.0,1148.0,1178.0,802.0,432.0,168.0,3205.0,534.0,428.0,550.0,1118.0,86.0,194.0,2069.0,3835.0000000000005,630.0,2202.0,1003.0,1734.0,8.048261,665.0,13.381446,6.93165954786957
41027,41.0,23382.0,533.61,18568.0,101.0,181.0,314.0,37.0,6588.999999999999,2439.0,706.0,11173.0,11173.0,1487.0,1631.0,1688.0,1555.0,1160.0,2772.0,3112.0,3434.0,2700.0,1383.0,942.0,482.00000000000006,8173.0,852.9999999999999,1092.0,2151.0,2378.0,234.0,509.0,5659.0,9271.0,1098.0,5140.0,3033.0000000000005,4354.0,20.191054,898.0,44.66644,19.0
41029,41.0,220944.0,2801.84,180172.0,1372.0,2386.0,2364.0,595.0,21745.0,9200.0,7116.999999999999,99002.0,104204.0,11972.0,11775.0,12582.0,13249.0,12176.0,23470.0,23096.0,28822.000000000004,30230.000000000004,18847.0,11566.0,5421.0,83076.0,9635.0,13400.0,14719.0,25512.0,2596.0,6076.0,53460.0,90937.0,7861.0,52045.0,31031.0,40418.0,210.33179,16964.0,376.69825,273.0
41031,41.0,24658.0,1791.13,14996.000000000002,138.0,3667.0,93.0,25.0,4195.0,1977.0,824.0,11256.0,10464.0,1551.0,1442.0,1540.0,1535.0,1221.0,2399.0,2701.0,3048.0,2952.0,2086.0,967.9999999999999,277.0,7790.0,890.0000000000001,837.0,1550.0,2624.0,333.0,722.0,5646.0,9815.0,2025.0,5339.0,2451.0,7299.999999999999,28.088487,3304.0000000000005,51.638085,25.0
41033,41.0,87487.0,1641.33,76449.0,347.0,1133.0,681.0,145.0,5251.0,1282.0,2676.0,40240.0,42473.0,4198.0,4428.0,4986.0,5139.0,3893.0,7852.000000000001,8493.0,11839.000000000002,13447.0,9895.0,5879.000000000001,2664.0,34646.0,4136.0,5686.000000000001,5260.0,11778.0,980.0,2362.0,22498.0,38001.0,3355.0,23112.000000000004,11534.000000000002,20847.0,110.773124,7849.0,159.987212,86.0
41035,41.0,68238.0,6135.45,57019.0,432.0,2734.0,621.0,75.0,6915.0,2751.0,2748.0,33051.0,33329.0,4000.0,3964.0,4179.0,4605.0,4271.0,7074.0,7622.0,9324.0,9990.0,6420.0,3634.0,1297.0,27280.0,3690.0,3762.0,4802.0,8753.0,829.0,1963.0,17831.0,32774.0,5494.0,18037.0,9243.0,16627.0,98.51058,6245.0,151.679304,32.0
41037,41.0,7869.0,8358.69,7130.0,39.0,165.0,53.0,5.0,545.0,241.0,262.0,4163.0,3732.0,366.0,381.0,427.0,478.0,329.0,755.0,956.0,1253.0,1338.0,932.0,511.0,169.0,3378.0,573.0,486.0,537.0,1223.0,91.0,173.0,2148.0,4439.0,1061.0,2302.0,1076.0,2115.0,8.373535,941.0,14.500899,7.377956037087197
41039,41.0,382067.0,4617.63,310685.0,3369.0,4070.0,8322.0,769.0,26167.0,9837.0,14663.0,173044.0,178671.0,18381.0,18776.0,20132.0,25531.999999999996,31115.999999999996,46026.0,40747.0,48150.00000000001,50074.0,28358.0,16497.0,7926.0,145966.0,18747.0,23431.0,23442.0,41273.0,3955.0,10042.0,86938.0,156112.0,10146.0,87228.0,58738.00000000001,77975.0,495.086826,25095.0,634.808954,410.0
41041,41.0,49962.0,986.2299999999999,40393.0,193.0,1590.0,492.0,58.99999999999999,3655.0,1586.0,1721.0000000000002,22402.0,23632.0,2247.0,2106.0,2162.0,2395.0,2120.0,4614.0,4563.0,6949.0,8906.0,5813.0,3042.0,1117.0,20550.0,2697.0,3723.0,2493.0,7023.000000000001,559.0,1213.0,12372.0,30610.0,10060.0,13277.0,7272.999999999999,13993.0,48.088933,4672.0,93.985645,45.0
