Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Oregon,3/8/2021,51480,51480
Washington,3/8/2021,91260,91260
Federal Entities,3/8/2021,230490,221130
Alabama,3/1/2021,54990,54990
Alaska,3/1/2021,53820,53820
American Samoa,3/1/2021,9360,0
Arizona,3/1/2021,78390,78390
Arkansas,3/1/2021,33930,33930
California,3/1/2021,438750,438750
Chicago,3/1/2021,31590,31590
Colorado,3/1/2021,63180,63180
Connecticut,3/1/2021,42120,42120
Delaware,3/1/2021,11700,11700
District of Columbia,3/1/2021,9360,9360
Federal Entities,3/1/2021,209430,190710
Florida,3/1/2021,239850,239850
Georgia,3/1/2021,114660,114660
Guam,3/1/2021,21060,0
Hawaii,3/1/2021,16380,16380
Idaho,3/1/2021,18720,18720
Illinois,3/1/2021,114660,114660
Indiana,3/1/2021,74880,74880
Iowa,3/1/2021,35100,35100
Kansas,3/1/2021,32760,32760
Kentucky,3/1/2021,50310,50310
Louisiana,3/1/2021,52650,52650
Maine,3/1/2021,16380,16380
Mariana Islands,3/1/2021,9360,0
Marshall Islands,3/1/2021,0,0
Maryland,3/1/2021,69030,69030
Massachusetts,3/1/2021,79560,79560
Michigan,3/1/2021,113490,113490
Micronesia,3/1/2021,0,0
Minnesota,3/1/2021,62010,62010
Mississippi,3/1/2021,33930,33930
Missouri,3/1/2021,69030,69030
Montana,3/1/2021,12870,12870
Nebraska,3/1/2021,22230,22230
Nevada,3/1/2021,33930,33930
New Hampshire,3/1/2021,16380,16380
New Jersey,3/1/2021,101790,101790
New Mexico,3/1/2021,24570,24570
New York,3/1/2021,128700,128700
New York City,3/1/2021,98280,98280
North Carolina,3/1/2021,115830,115830
North Dakota,3/1/2021,9360,9360
Ohio,3/1/2021,132210,132210
Oklahoma,3/1/2021,43290,43290
Oregon,3/1/2021,47970,47970
Palau,3/1/2021,0,0
Pennsylvania,3/1/2021,129870,129870
Philadelphia,3/1/2021,18720,18720
Puerto Rico,3/1/2021,39780,39780
Rhode Island,3/1/2021,12870,12870
South Carolina,3/1/2021,57330,57330
South Dakota,3/1/2021,10530,10530
Tennessee,3/1/2021,76050,76050
Texas,3/1/2021,300690,300690
U.S. Virgin Islands,3/1/2021,2340,2340
Utah,3/1/2021,31590,31590
Vermont,3/1/2021,8190,8190
Virginia,3/1/2021,95940,95940
Washington,3/1/2021,84240,84240
West Virginia,3/1/2021,22230,22230
Wisconsin,3/1/2021,66690,66690
Wyoming,3/1/2021,7020,7020
Alabama,2/22/2021,47970,47970
Alaska,2/22/2021,0,0
American Samoa,2/22/2021,0,0
Arizona,2/22/2021,69030,69030
Arkansas,2/22/2021,29250,29250
California,2/22/2021,382590,382590
Chicago,2/22/2021,26910,26910
Colorado,2/22/2021,54990,54990
Connecticut,2/22/2021,36270,36270
Delaware,2/22/2021,10530,10530
District of Columbia,2/22/2021,8190,8190
Federal Entities,2/22/2021,166140,166140
Florida,2/22/2021,209430,209430
Georgia,2/22/2021,99450,99450
Guam,2/22/2021,0,0
Hawaii,2/22/2021,15210,15210
Idaho,2/22/2021,16380,16380
Illinois,2/22/2021,99450,99450
Indiana,2/22/2021,64350,64350
Iowa,2/22/2021,31590,31590
Kansas,2/22/2021,28080,28080
Kentucky,2/22/2021,44460,44460
Louisiana,2/22/2021,45630,45630
Maine,2/22/2021,14040,14040
Mariana Islands,2/22/2021,0,0
Marshall Islands,2/22/2021,0,0
Maryland,2/22/2021,59670,59670
Massachusetts,2/22/2021,70200,70200
Michigan,2/22/2021,99450,99450
Micronesia,2/22/2021,0,0
Minnesota,2/22/2021,54990,54990
Mississippi,2/22/2021,29250,29250
Missouri,2/22/2021,60840,60840
Montana,2/22/2021,10530,10530
Nebraska,2/22/2021,18720,18720
Nevada,2/22/2021,29250,29250
New Hampshire,2/22/2021,14040,14040
New Jersey,2/22/2021,88920,88920
New Mexico,2/22/2021,21060,21060
New York,2/22/2021,112320,112320
New York City,2/22/2021,85410,85410
North Carolina,2/22/2021,100620,100620
North Dakota,2/22/2021,8190,8190
Ohio,2/22/2021,115830,115830
Oklahoma,2/22/2021,38610,38610
Oregon,2/22/2021,42120,42120
Palau,2/22/2021,0,0
Pennsylvania,2/22/2021,113490,113490
Philadelphia,2/22/2021,16380,16380
Puerto Rico,2/22/2021,35100,35100
Rhode Island,2/22/2021,11700,11700
South Carolina,2/22/2021,49140,49140
South Dakota,2/22/2021,9360,9360
Tennessee,2/22/2021,65520,65520
Texas,2/22/2021,262080,262080
U.S. Virgin Islands,2/22/2021,1170,1170
Utah,2/22/2021,28080,28080
Vermont,2/22/2021,7020,7020
Virginia,2/22/2021,84240,84240
Washington,2/22/2021,73710,73710
West Virginia,2/22/2021,18720,18720
Wisconsin,2/22/2021,58500,58500
Wyoming,2/22/2021,5850,5850
Alabama,2/15/2021,30225,30225
Alaska,2/15/2021,0,0
American Samoa,2/15/2021,0,0
Arizona,2/15/2021,42900,42900
Arkansas,2/15/2021,18525,18525
California,2/15/2021,241800,241800
Chicago,2/15/2021,17550,17550
Colorado,2/15/2021,35100,35100
Connecticut,2/15/2021,23400,23400
Delaware,2/15/2021,6825,6825
District of Columbia,2/15/2021,4875,4875
Federal Entities,2/15/2021,105300,105300
Florida,2/15/2021,132600,132600
Georgia,2/15/2021,63375,63375
Guam,2/15/2021,0,0
Hawaii,2/15/2021,9750,9750
Idaho,2/15/2021,10725,10725
Illinois,2/15/2021,63375,63375
Indiana,2/15/2021,40950,40950
Iowa,2/15/2021,19500,19500
Kansas,2/15/2021,18525,18525
Kentucky,2/15/2021,28275,28275
Louisiana,2/15/2021,29250,29250
Maine,2/15/2021,8775,8775
Mariana Islands,2/15/2021,0,0
Marshall Islands,2/15/2021,0,0
Maryland,2/15/2021,38025,38025
Massachusetts,2/15/2021,43875,43875
Michigan,2/15/2021,62400,62400
Micronesia,2/15/2021,0,0
Minnesota,2/15/2021,34125,34125
Mississippi,2/15/2021,18525,18525
Missouri,2/15/2021,38025,38025
Montana,2/15/2021,6825,6825
Nebraska,2/15/2021,11700,11700
Nevada,2/15/2021,18525,18525
New Hampshire,2/15/2021,8775,8775
New Jersey,2/15/2021,55575,55575
New Mexico,2/15/2021,13650,13650
New York,2/15/2021,71175,71175
New York City,2/15/2021,53625,53625
North Carolina,2/15/2021,63375,63375
North Dakota,2/15/2021,4875,4875
Ohio,2/15/2021,73125,73125
Oklahoma,2/15/2021,24375,24375
Oregon,2/15/2021,26325,26325
Palau,2/15/2021,0,0
Pennsylvania,2/15/2021,71175,71175
Philadelphia,2/15/2021,10725,10725
Puerto Rico,2/15/2021,22425,22425
Rhode Island,2/15/2021,6825,6825
South Carolina,2/15/2021,31200,31200
South Dakota,2/15/2021,5850,5850
Tennessee,2/15/2021,41925,41925
Texas,2/15/2021,165750,165750
U.S. Virgin Islands,2/15/2021,975,975
Utah,2/15/2021,17550,17550
Vermont,2/15/2021,4875,4875
Virginia,2/15/2021,52650,52650
Washington,2/15/2021,46800,46800
West Virginia,2/15/2021,11700,11700
Wisconsin,2/15/2021,37050,37050
Wyoming,2/15/2021,3900,3900
Alabama,2/8/2021,30225,30225
Alaska,2/8/2021,0,0
American Samoa,2/8/2021,0,0
Arizona,2/8/2021,42900,42900
Arkansas,2/8/2021,18525,18525
California,2/8/2021,241800,241800
Chicago,2/8/2021,17550,17550
Colorado,2/8/2021,35100,35100
Connecticut,2/8/2021,23400,23400
Delaware,2/8/2021,6825,6825
District of Columbia,2/8/2021,4875,4875
Federal Entities,2/8/2021,105300,105300
Florida,2/8/2021,132600,132600
Georgia,2/8/2021,63375,63375
Guam,2/8/2021,0,0
Hawaii,2/8/2021,9750,9750
Idaho,2/8/2021,10725,10725
Illinois,2/8/2021,63375,63375
Indiana,2/8/2021,40950,40950
Iowa,2/8/2021,19500,19500
Kansas,2/8/2021,18525,18525
